IPO name,Offer date,SIC,Ticker,Unit,Offer price
Nextcard Inc,19990514,6141,NXCD,1,20
Redback Networks Inc,19990517,7373,RBAK,1,23
OneSource Information Services,19990519,7375,ONES,1,12
eToys Inc,19990519,5945,ETYS,1,20
@plan.inc,19990520,8732,APLN,1,14
CAIS Internet Inc,19990520,7375,CAIS,1,19
Fashionmall.com,19990521,5311,FASH,1,13
DLJdirect(Donaldson Lufkin),19990525,6211,DIR,1,20
Juno Online Services Inc,19990525,7375,JWEB,1,13
Star Media Network Inc,19990525,7375,STRM,1,15
barnesandnoble.com inc,19990525,7375,BNBN,1,18
Edgar Online Inc,19990526,7379,EDGR,1,9.5
ZipLink Inc,19990526,4813,ZIPL,1,14
iXL Enterprises Inc,19990603,7373,IIXL,1,12
F5 Networks Inc,19990604,7372,FFIV,1,10
High Speed Access Corp,19990604,7372,HSAC,1,13
Network Access Solutions Corp,19990604,4813,NASC,1,12
Online Resources & Commun,19990604,7389,ORCC,1,14
Wit Capital Group Inc,19990604,6211,WITC,1,9
BackWeb Technologies Ltd,19990607,7372,BWEB,1,12
drkoop.com Inc,19990608,7375,KOOP,1,9
Litronic Inc,19990609,7372,LTNX,1,11
Phone.com Inc,19990610,7372,PHCM,1,16
onlinetradinginc.com,19990611,6211,LINE,1,7
GenesisIntermedia.com Inc,19990614,7311,GENI,1,8.5
CareInsite Inc(Synetic Inc),19990615,7372,CARI,1,18
AppNet Systems Inc,19990617,7379,APNT,1,12
Mail.com Inc,19990617,7375,MAIL,1,7
Streamline.com Inc,19990617,5961,SLNE,1,10
Viant Corp,19990617,7371,VIAN,1,16
Goto.com,19990618,7379,GOTO,1,15
Student Advantage Inc,19990618,8699,STAD,1,8
Ariba Inc,19990622,7372,ARBA,1,23
Netivation.com Inc,19990622,7375,NTVN,1,10
Ramp Networks Inc,19990622,7373,RAMP,1,11
Salon.com,19990622,7372,SALN,1,10.5
CyberSource Inc,19990623,7375,CYBS,1,11
Quepasa.com Inc,19990623,7375,PASA,1,12
Software.com Inc,19990623,7372,SWCM,1,15
TD Waterhouse Group Inc,19990623,6211,TWE,1,24
Internet.com Corp,19990624,7375,INTM,1,14
Juniper Networks,19990624,3661,JNPR,1,34
Persistence Software Inc,19990625,7371,PRSW,1,11
Stamps.com Inc,19990625,5961,STMP,1,11
US Search Corp.com,19990625,7375,SRCH,1,9
E-Loan Inc,19990628,6162,EELN,1,14
Digital Island Inc,19990629,4813,ISLD,1,10
Network Plus Corp,19990629,4813,NPLS,1,16
nFront Inc,19990629,7375,NFNT,1,10
Ask Jeeves Inc,19990701,7375,ASKJ,1,14
Clarent Corp,19990701,7372,CLRN,1,15
Commerce One Inc,19990701,7372,CMRC,1,21
Primus Knowledge Solutions Inc,19990701,7372,PKSI,1,11
Interliant Inc,19990707,7375,INIT,1,10
Musicmaker.com Inc,19990707,5961,HITS,1,14
Liquid Audio Inc,19990709,5999,LQID,1,15
China.com Corp,19990713,7379,CHINA,1,20
CommTouch Software Inc,19990713,4899,CTCHC,1,16
TIBCO Software Inc,19990714,7372,TIBX,1,15
Efficient Networks Inc,19990715,3571,EFNT,1,15
National Info Consortium Inc,19990715,7375,EGOV,1,12
Audible Inc,19990716,7375,ADBL,1,9
Paradyne Networks Inc,19990716,8711,PDYN,1,17
Talk City Inc,19990719,7375,TCTY,1,12
Art Technology Group Inc,19990720,7372,ARTG,1,12
Engage Technologies Inc,19990720,7372,ENGA,1,15
Hoover's Inc,19990721,7375,HOOV,1,14
MP3.COM Inc,19990721,3652,MPPP,1,28
Voyager.Net Inc,19990721,7375,VOYN,1,15
Insweb Corp,19990722,7389,INSW,1,17
Tanning Technology Corp,19990722,7379,TANN,1,15
Allscripts Inc,19990723,5122,MDRX,1,16
JFAX Com Inc,19990723,7373,JFAX,1,9.5
VersaTel Telecom BV,19990723,4813,VRSA,1,10.51
Chemdex Corp,19990726,5169,CMDX,1,15
Freeserve PLC,19990726,7375,FREE,1,23.67
Liberate Technologies,19990727,7372,LBRT,1,16
Quokka Sports Inc,19990727,7999,QKKA,1,12
