permno,permco,namedt,nameenddt,comnam,cusip,ticker,exchcd,begdat,begprc,date,prc
81095.0,13413.0,1994-11-07,1998-02-17,NORTHWEST SAVINGS BANK WARREN P,66734010,NWSB,3.0,1994-11-07,1994-11-07,1994-11-07,18.0
81096.0,13431.0,1994-11-16,1996-08-22,ORBIT SEMICONDUCTOR INC,68556E10,ORRA,3.0,1994-11-16,1994-11-16,1994-11-16,8.25
81097.0,13412.0,1994-11-29,1995-07-09,PAXSON COMMUNICATIONS CORP,46205A10,PAXN,3.0,1994-11-29,1994-11-29,1994-11-29,21.0
81098.0,13417.0,1994-11-08,2005-08-09,PINNACLE SYSTEMS INC,72348110,PCLE,3.0,1994-11-08,1994-11-08,1994-11-08,11.375
81099.0,13445.0,1994-11-23,1999-06-15,PHYSICIAN RELIANCE NETWORK INC,71940G10,PHYN,3.0,1994-11-23,1994-11-23,1994-11-23,16.25
81100.0,13450.0,1994-11-30,1998-05-25,PREMIER LASER SYSTEMS INC,74052210,PLSIA,3.0,1994-11-30,1994-11-30,1994-11-30,5.0
81101.0,13442.0,1994-11-22,1998-06-15,BRASSIE GOLF CORP,25540810,PUTT,3.0,1994-11-22,1994-11-22,1994-11-22,3.875
81102.0,13434.0,1994-11-17,1999-04-30,QUALITY SEMICONDUCTOR INC,74758B10,QUAL,3.0,1994-11-17,1994-11-17,1994-11-17,12.25
81103.0,13414.0,1994-11-08,2016-01-20,ROYALE ENERGY INC,78074G20,ROYL,3.0,1994-11-08,1994-11-08,1994-11-08,4.0
81104.0,6027.0,1983-06-01,1986-06-15,VITALITY UNLIMITED,91822910,VITL,3.0,1983-06-01,1983-06-01,1983-06-01,8.125
81105.0,13423.0,1994-11-11,1998-08-16,SAVINGS BANK OF FINGER LAKES NY,31787C10,SBFL,3.0,1994-11-11,1994-11-11,1994-11-11,8.5
81106.0,13436.0,1994-11-18,1999-02-26,SHIVA CORP,82485110,SHVA,3.0,1994-11-18,1994-11-18,1994-11-18,31.5
81107.0,13422.0,1994-11-10,1996-01-25,SINGING MACHINE INC,82932210,SING,3.0,1994-11-10,1994-11-10,1994-11-10,5.5
81108.0,13428.0,1994-11-16,1998-08-21,SENIOR TOUR PLAYERS DEV INC,81721A10,SRTR,3.0,1994-11-16,1994-11-16,1994-11-16,4.5
81109.0,13415.0,1994-11-08,2007-07-01,DIGITAL RECORDERS INC,23330F10,TBUS,3.0,1994-11-08,1994-11-08,1994-11-08,5.875
