comnam,ticker,filingYr
IRIDIUM WORLD COMMUNICATIONS LTD,IRIDF,1997
CARDIMA INC,CRDM,1997
LOTTERY & WAGERING SOLUTIONS INC,RIPE,1997
SILVERLEAF RESORTS INC,SVR,1997
ESHARE COMMUNICATIONS INC,MELI,1997
CONCERO INC,PSWT,1997
PAMECO CORP,PCN,1997
"SAREPTA THERAPEUTICS, INC.",AVII,1997
RF MICRO DEVICES INC,RFMD,1997
SFB BANCORP INC,SFBK,1997
PACIFIC SYSTEMS CONTROL TECHNOLOGY INC,ACEI,1997
PROTEONOMIX INC.,AZUR,1997
NEW YORKER MARKETING CORP,MIKS,1997
INFORMATION MGMT AS W/D/B,IMAA,1997
ONSTREAM MEDIA CORP,VDAT,1997
VESTCOM INTERNATIONAL INC,VESC,1997
NETBANK INC,NTBK,1997
UPC POLSKA LLC,ATEN,1997
BIORELIANCE CORP,BREL,1997
CORSAIR COMMUNICATIONS INC,CAIR,1997
CMP MEDIA INC,CMPX,1997
CHOICEPOINT INC,CPS,1997
GALILEO INTERNATIONAL INC,GLC,1997
SCHEID VINEYARDS INC,SVIN,1997
TRAILER BRIDGE INC,TRBR,1997
TRAVEL SERVICES INTERNATIONAL INC,TRVL,1997
JLM INDUSTRIES INC,JLMI,1997
EXCELSIOR HENDERSON MOTORCYCLE MANUFACTURING CO,BIGX,1997
FRIEDE GOLDMAN HALTER INC,FGII,1997
CREATIVE HOST SERVICES INC,CHST,1997
FOX & HOUND RESTAURANT GROUP,TENT,1997
MONARCH DENTAL CORP,MDDS,1997
BANK OF THE OZARKS INC,OZRK,1997
JONES LANG LASALLE INC,LAP,1997
CAPITAL BEVERAGE CORP,CBEV,1997
HOME SECURITY INTERNATIONAL INC,HSI,1997
AT HOME CORP,ATHM,1997
APOLLO INTERNATIONAL OF DELAWARE INC,AIOD,1997
METALS USA INC,MUI,1997
"AMICAS, INC.",INC,1997
HORIZON PHARMACIES INC,HZP,1997
NATIONWIDE DELIVERY INC.,GOSB,1997
TELEGROUP INC,TGRP,1997
WORLD OF SCIENCE INC,WOSI,1997
FIRSTSPARTAN FINANCIAL CORP,FSPT,1997
INX INC,ALLS,1997
TELESCIENCES INC /DE/,AXIM,1997
OUTERWALL INC,CSTR,1997
HAGLER BAILLY INC,HBIX,1997
"IVOW, INC.",VMTI,1997
MERCATOR SOFTWARE INC,TSFW,1997
TRANSCEND THERAPEUTICS INC,TSND,1997
PERITUS SOFTWARE SERVICES INC,PTUS,1997
CENTENNIAL HEALTHCARE CORP,CTEN,1997
8X8 INC /DE/,EGHT,1997
FIRSTBANK NW CORP,FBNW,1997
BAYONNE BANCSHARES INC,FSNJ,1997
HELIX ENERGY SOLUTIONS GROUP INC,CDIS,1997
COMMUNITY FIRST BANKING CO,CFBC,1997
EXTERRAN ENERGY CORP.,HC,1997
HESKA CORP,HSKA,1997
MONTGOMERY FINANCIAL CORP,MONT,1997
LAI WORLDWIDE INC,LAIX,1997
"SIRONA DENTAL SYSTEMS, INC.",SCHK,1997
DBM GLOBAL INC,SHUF,1997
GUIDED THERAPEUTICS INC,SPRX,1997
IRON MOUNTAIN INC,PLH,1997
FTM MEDIA INC,RWBD,1997
WSB HOLDING CO,WSBH,1997
NOTIFY TECHNOLOGY CORP,NTFY,1997
CENTERPOINT CORP,NACQU,1997
"EMERGING ENTERPRISE SOLUTIONS, INC.",PCIG,1997
AUTHENTIC SPECIALTY FOODS INC,ASFD,1997
EXECUSTAY CORP,EXEC,1997
INSPIRE INSURANCE SOLUTIONS INC,NSPR,1997
KENDLE INTERNATIONAL INC,KNDL,1997
ORTHALLIANCE INC,ORAL,1997
CTB INTERNATIONAL CORP,CTBC,1997
U S LIQUIDS INC,USL,1997
CLEARVIEW CINEMA GROUP INC,CLV,1997
VISION TWENTY ONE INC,EYES,1997
AEHR TEST SYSTEMS,AEHR,1997
LEUKOSITE INC,LKST,1997
TRENDWEST RESORTS INC,TWRI,1997
STERIGENICS INTERNATIONAL INC,STER,1997
INTERNATIONAL ISOTOPES INC,ITL,1997
ON STAGE ENTERTAINMENT INC,ONST,1997
"WHEAT SHEAF BRANDS, INC.",DSCS,1997
CORPORATEFAMILY SOLUTIONS INC,CFAM,1997
TRAVELBYUS INC,AVGP,1997
"CLARIENT, INC",CVSN,1997
SPECTRUM ORGANIC PRODUCTS INC,OFPI,1997
SYNTEL INC,SYNT,1997
COMPUTER MOTION INC,RBOT,1997
FINE COM INTERNATIONAL CORP /WA/,FDOT,1997
GLOBECOMM SYSTEMS INC,GCOM,1997
"ARCA BIOPHARMA, INC.",HYSQ,1997
INNOVA CORPORATION,INVA,1997
OMTOOL LTD,OMTL,1997
HELIOS & MATHESON ANALYTICS INC.,TACX,1997
