DATE,NASDAQCOM
1/22/99,2338.88
1/25/99,2369.31
1/26/99,2433.41
1/27/99,2407.14
1/28/99,2477.34
1/29/99,2505.89
2/1/99,2510.09
2/2/99,2463.42
2/3/99,2493.41
2/4/99,2410.07
2/5/99,2373.62
2/8/99,2404.92
2/9/99,2310.79
2/10/99,2309.5
2/11/99,2405.55
2/12/99,2321.89
2/15/99,.
2/16/99,2313.87
2/17/99,2248.91
2/18/99,2260.55
2/19/99,2283.6
2/22/99,2342.01
2/23/99,2376.35
2/24/99,2339.38
2/25/99,2326.82
2/26/99,2288.03
3/1/99,2295.18
3/2/99,2259.03
3/3/99,2265.2
3/4/99,2292.89
3/5/99,2337.11
3/8/99,2397.62
3/9/99,2392.94
3/10/99,2406
3/11/99,2412.25
3/12/99,2381.53
3/15/99,2431.44
3/16/99,2439.27
3/17/99,2428.97
3/18/99,2462.96
3/19/99,2421.27
3/22/99,2395.94
3/23/99,2322.84
3/24/99,2365.28
3/25/99,2434.8
3/26/99,2419.17
3/29/99,2492.84
3/30/99,2480.29
3/31/99,2461.4
4/1/99,2493.37
4/2/99,.
4/5/99,2560.06
4/6/99,2563.17
4/7/99,2544.43
4/8/99,2573.39
4/9/99,2593.05
4/12/99,2598.81
4/13/99,2583.5
4/14/99,2507.28
4/15/99,2521.77
4/16/99,2484.04
4/19/99,2345.61
4/20/99,2409.64
4/21/99,2489.08
4/22/99,2561.61
4/23/99,2590.69
4/26/99,2652.05
4/27/99,2602.41
4/28/99,2550.37
4/29/99,2528.44
4/30/99,2542.85
5/3/99,2535.58
5/4/99,2485.12
5/5/99,2534.45
5/6/99,2472.28
5/7/99,2503.62
5/10/99,2526.39
5/11/99,2566.68
5/12/99,2606.54
5/13/99,2582
5/14/99,2527.86
5/17/99,2561.84
5/18/99,2558.36
5/19/99,2577.4
5/20/99,2542.23
5/21/99,2520.14
5/24/99,2453.66
5/25/99,2380.9
5/26/99,2427.18
5/27/99,2419.15
5/28/99,2470.52
5/31/99,.
6/1/99,2412.03
6/2/99,2432.41
6/3/99,2403.32
6/4/99,2478.34
6/7/99,2524.21
6/8/99,2474.56
6/9/99,2519.35
6/10/99,2484.62
6/11/99,2447.88
6/14/99,2398.31
6/15/99,2414.67
6/16/99,2517.83
6/17/99,2544.15
6/18/99,2563.44
6/21/99,2630.28
6/22/99,2580.26
6/23/99,2598.12
6/24/99,2553.99
6/25/99,2552.65
6/28/99,2602.44
6/29/99,2642.11
6/30/99,2686.12
7/1/99,2706.18
7/2/99,2741.02
7/5/99,.
7/6/99,2736.78
7/7/99,2743.04
7/8/99,2771.86
7/9/99,2793.07
7/12/99,2790.44
7/13/99,2778.23
7/14/99,2818.13
7/15/99,2839.37
7/16/99,2864.48
7/19/99,2830.29
7/20/99,2732.18
7/21/99,2761.77
7/22/99,2684.44
7/23/99,2692.4
7/26/99,2619.19
7/27/99,2679.33
7/28/99,2705.84
7/29/99,2640.01
7/30/99,2638.49
8/2/99,2623.63
8/3/99,2587.99
8/4/99,2540
8/5/99,2565.83
8/6/99,2547.97
8/9/99,2518.98
8/10/99,2490.11
8/11/99,2564.98
8/12/99,2549.49
8/13/99,2637.81
8/16/99,2645.28
8/17/99,2671.22
8/18/99,2657.73
8/19/99,2621.43
8/20/99,2648.33
8/23/99,2719.57
8/24/99,2752.37
8/25/99,2805.6
8/26/99,2774.62
8/27/99,2758.9
8/30/99,2712.69
8/31/99,2739.35
9/1/99,2750.8
9/2/99,2734.24
9/3/99,2843.11
9/6/99,.
9/7/99,2837.26
9/8/99,2808.74
9/9/99,2852.02
9/10/99,2887.06
9/13/99,2844.77
9/14/99,2868.29
9/15/99,2814.17
9/16/99,2806.72
9/17/99,2869.62
9/20/99,2886.15
9/21/99,2821.1
9/22/99,2858.16
9/23/99,2749.83
9/24/99,2740.41
9/27/99,2761.75
9/28/99,2756.25
9/29/99,2730.27
9/30/99,2746.16
10/1/99,2736.85
10/4/99,2795.97
10/5/99,2799.67
10/6/99,2857.21
10/7/99,2860.7
10/8/99,2886.57
10/11/99,2915.95
10/12/99,2872.43
10/13/99,2801.27
10/14/99,2806.84
10/15/99,2731.83
10/18/99,2689.15
10/19/99,2688.18
10/20/99,2788.13
10/21/99,2801.95
10/22/99,2816.52
10/25/99,2815.95
10/26/99,2811.47
10/27/99,2802.52
10/28/99,2875.22
10/29/99,2966.43
11/1/99,2967.65
11/2/99,2981.63
11/3/99,3028.51
11/4/99,3055.95
11/5/99,3102.29
11/8/99,3143.97
11/9/99,3125.04
11/10/99,3155.96
11/11/99,3197.29
11/12/99,3221.15
11/15/99,3219.54
11/16/99,3295.52
11/17/99,3269.39
11/18/99,3347.11
11/19/99,3369.25
11/22/99,3392.56
11/23/99,3342.87
11/24/99,3420.5
11/25/99,.
11/26/99,3447.81
11/29/99,3421.37
11/30/99,3336.16
12/1/99,3353.71
12/2/99,3452.78
12/3/99,3520.63
12/6/99,3546.01
12/7/99,3586.92
12/8/99,3586.08
12/9/99,3594.17
12/10/99,3620.24
12/13/99,3658.17
12/14/99,3571.66
12/15/99,3621.95
12/16/99,3715.06
12/17/99,3753.06
12/20/99,3783.87
12/21/99,3911.15
12/22/99,3937.3
12/23/99,3969.44
12/24/99,.
12/27/99,3975.38
12/28/99,3972.11
12/29/99,4041.46
12/30/99,4036.87
12/31/99,4069.31
1/3/00,4131.15
1/4/00,3901.69
1/5/00,3877.54
1/6/00,3727.13
1/7/00,3882.62
1/10/00,4049.67
1/11/00,3921.19
1/12/00,3850.02
1/13/00,3957.21
1/14/00,4064.27
1/17/00,.
1/18/00,4130.81
1/19/00,4151.29
1/20/00,4189.51
1/21/00,4235.4
1/24/00,4096.08
1/25/00,4167.41
1/26/00,4069.91
1/27/00,4039.56
1/28/00,3887.07
1/31/00,3940.35
2/1/00,4051.98
2/2/00,4073.96
2/3/00,4210.98
