 Filing Date,Issue Date,Issuer,Main SIC Code,Nation,Ticker Symbol,Bookrunner(s),Gross spread ($),Gross Spread as % of Prncpl Amt - in this Mkt,Proceeds Amt - in this Mkt ($ mil),Offer Price,Type of Security,IPO Flag (Y/N),9-Digit Cusip,Primary Exchange Where Issuer's Stock Trades,All Managers,Management Fee as % of Prncpl Amt - in this Mkt,Underwriting Fee as % of Prncpl Amt - in this Mkt,Selling Concession as % of Prncpl Amt - in this Mkt,Marketplace,Original High Filing Price,Original Low Filing Price,Shares Filed - in this Mkt,Amt Filed - in this Mkt ($ mil),Primary Shares Offered - in this Mkt,Secondary Shs Ofrd- in this Mkt,Lock up Expiration Date,Percent of Shares Outstanding Subject to Lockup Agreement,Lockup Days,Lockup Shares,Depositary,Units,Venture Backed,Spin-off Parent Ticker,Spinoff's Parent,Number of Bookrunners,RANK_NO_LEADS,"Number of Lead, Co-lead, & Co-managers",Stock Price at Close of Offer/1st Trade,Opening Stock Price at First Trade,All Managers.1,Lead Manager,Managers,Managers.1,permno,cusip,comnam,ticker,begprc,prc,Match Name,Match Date,diff date,mid,PA %
SunTrust Equitable Securities
Tucker Anthony Inc
Van Kasper & Co
Wedbush Securities
BT Alex Brown Inc",1.455,1.727,3.81818,U.S. Public,15,13,,115.1,5530000,,,,,,No,No,No,,,1,1,2,10.63,,"BT-ALEX-BROWN//PSI//BEAR/CIBC-WORLD/DLJ
/ML/MS/SALOMON-SMITH/WP-SEC
/BLAYLOCK-PTRNS/BRADFORD/DAIN-RAUSCHER
/EBI-SEC/FERRIS-BAKER/GERARD-KLAUER
/GRUNTAL/JOSEPHTHAL/MCDONALD
/EDGAR-NORRIS/SUNTRUST-EQUI/TUCKER
/VAN-KASPER/WEDBUSH-M
//BT-ALEX-BROWN(GC)",BT-ALEX-BROWN,"BT-ALEX-BROWN
PSI","BT Alex Brown Inc
Prudential Securities Inc",86949,83056610,SKECHERS U S A INC,SKX,6/9/99,10.625,SKECHERS USA INC,6/10/99,1,14,-0.214285714

9/15/95,1/28/97,Administaff Inc,7363,United States,ASF,MS,1.19,7,51,17,Common Shares,Yes,7094105,New York,"Morgan Stanley & Co
Donaldson Lufkin & Jenrette
ABN AMRO Chicago Corp
Alex Brown & Sons Inc
BT Securities Corp
Goldman Sachs & Co
Merrill Lynch
PaineWebber
Robertson Stephens & Co
Salomon Brothers
Smith Barney Inc
Robert W Baird & Co Inc
William Blair & Co
Cowen
First of Michigan Corp
Janney Montgomery Scott Inc
Rauscher Pierce Refsnes Inc
Raymond James & Associates Inc
Unterberg Harris
Wheat First Butcher & Singer",1.412,1.412,4.17647,U.S. Public,15,15,,45,3000000,,7/27/97 0:00,,180,,No,No,Yes,,,1,1,2,22,,"MS//DLJ//ABN-AMRO-CHI/ALEX-BROWN
/B-T-SEC/GS/MERRILL/PAINE-W/ROBERTSON-S
/SAL/SBI/BAIRD/WM-BLAIR/COWEN
/FIRST-MICHIGAN/JANNEY/RAUSCHER-REF
/RAYMOND/UNTERBERG-H/WHEAT-FBS",MS,"MS
DLJ","Morgan Stanley & Co
Donaldson Lufkin & Jenrette Inc",84385,45778Q10,ADMINISTAFF INC,ASF,1/29/97,22,"INSPERITY, INC.",1/29/97,0,15,0.133333333

5/17/96,2/18/97,VDI Media,7812,United States,VDIM,PSI,0.49,7,19.6,7,Common Shares,Yes,917916108,Nasdaq,"Prudential Securities Inc
Oppenheimer & Co Inc
Bear Stearns & Co Inc
Alex Brown & Sons Inc
Cowen
CS First Boston Corp
Dillon, Read & Co Inc
Donaldson Lufkin & Jenrette
Hambrecht & Quist
Morgan Stanley & Co
Smith Barney Inc
Robert W Baird & Co Inc
Crowell Weedon & Co
Furman Selz LLC
Gerard Klauer Mattison & Co
Jefferies & Co Inc
Needham & Co LLC
Principal Financial Securities
Sutro & Co Inc
Tucker Anthony Inc
Baird Patrick & Co Inc
Bishop, Rosen & Co
Blaylock & Partners LP
Van Kasper & Co",1.429,1.714,3.85714,U.S. Public,13,11,2300000,27.6,2600000,200000,8/17/97 0:00,,180,6260400,No,No,No,,,1,1,2,7.38,,"PSI//OPPENHEIMER//BEAR/ALEX-BROWN/COWEN
/CS-FB/DR/DLJ/HAMBRECHT/MS/SBI/BAIRD
/CROWELL/FURMAN-SELZ-INC/GERARD-KLAUER
/JEFFERIES/NEEDHAM/PRINCIPAL-FIN/SUTRO
/TUCKER/BAIRD-PATRICK/BISHOP-ROSEN
/BLAYLOCK-PTRNS/VAN-KASPER",PSI,"PSI
OPPENHEIMER","Prudential Securities Inc
Oppenheimer & Co Inc (DO NOT USE after 9/2/2003)",84565,73069810,V D I MEDIA,VDIM,2/19/97,7.375,OLD POINT.360,2/19/97,0,12,-0.416666667

5/21/96,5/2/97,DTM Corp,3559,United States,DTMC,A-G-EDWARDS,0.56,7,24.3,8,Common Shares,Yes,23333L103,Nasdaq,"AG Edwards & Sons Inc
Ladenburg Thalmann & Co
Alex Brown & Sons Inc
Dillon, Read & Co Inc
Donaldson Lufkin & Jenrette
Goldman Sachs & Co
Lehman Brothers
NatWest Securities
Oppenheimer & Co Inc
PaineWebber
Robertson Stephens & Co
Adams Harkness & Hill Inc
Cruttenden & Co. Inc.
Fahnestock & Co
Gerard Klauer Mattison & Co
Hanifen Imhoff Inc
Edward D Jones & Co
Legg Mason Wood Walker
McDonald Investments
Morgan Keegan Inc
Principal Financial Securities
Rauscher Pierce Refsnes Inc
Raymond James & Associates Inc
Southcoast Capital
Sutro & Co Inc
Unterberg Harris
Vector Securities Intl
Brean Murray & Co Inc
First Analysis Securities
Sanders Morris Mundy Inc
Starr Securities",1.5,1.75,3.75,U.S. Public,13,11,2514000,30.2,2852191,186809,10/29/97 0:00,,180,,No,No,No,,,1,1,2,8,,"A-G-EDWARDS//LADENBURG//ALEX-BROWN/DR
/DLJ/GS/LEH/NATWEST-SEC/OPPENHEIMER
/PAINE-W/ROBERTSON-S/ADAMS-HARKNESS
/CRUTTENDEN/FAHNESTOCK/GERARD-KLAUER
/HANIFEN-IMHOFF/ED-JONES/LEGG-MASON-WW
/MCDONALD/MORGAN-KEEGAN/PRINCIPAL-FIN
/RAUSCHER-REF/RAYMOND/SOUTHCOAST/SUTRO
/UNTERBERG-H/VECTOR/BREAN/F-ANALYSIS
/SANDERS-MORRIS/STARR",A-G-EDWARDS,"A-G-EDWARDS
LADENBURG","AG Edwards & Sons Inc
Ladenburg Thalmann & Co",84802,23333L10,D T M CORP NEW,DTMC,5/2/97,8,DTM CORP /TX/,5/5/97,3,12,-0.333333333

6/6/96,2/3/97,Vail Resorts Inc,7999,United States,MTN,BEAR,1.43,6.5,213,22,Common Shares,Yes,91879Q109,New York,"Bear Stearns & Co Inc
Furman Selz LLC
Salomon Brothers
Smith Barney Inc
Schroder Wertheim & Co
Goldman Sachs & Co
Credit Lyonnais SA
Nomura Securities
UBS Securities Inc
SBC Warburg
Deutsche Morgan Grenfell
Bear Stearns & Co Inc",1.318,1.273,3.90909,U.S. Public,,,,150,4000000,5680000,,,,,No,No,No,,,1,1,6,22.5,,"BEAR//FURMAN-SELZ-INC/SAL/SBI
/SCHRODER-WER/GS//CRED-LYONNAIS/NOMURA
/UBS-SEC/SBC-WARBURG/DEUTSCHE-MORGAN
//BEAR(GC)",BEAR,"BEAR
FURMAN-SELZ-INC
SAL
SBI
SCHRODER-WER
GS","Bear Stearns & Co Inc
Furman Selz LLC
Salomon Brothers Inc
Smith Barney Incorporated
Schroder Wertheim & Co
Goldman Sachs & Co",84588,91879Q10,VAIL RESORTS INC,MTN,2/4/97,22.5,VAIL RESORTS INC,2/4/97,0,0,#DIV/0!

7/8/96,5/13/97,ASD Group Inc,8711,United States,ASDG,MEYERS,0.575,10,5.4,5.75,Common Shares,Yes,1988104,Sm Cap Mkt,"HJ Meyers & Co
Brean Murray & Co Inc
Commonwealth Associates
Frederick
Hoefer & Arnett Inc
John G Kinnard & Co
LT Lawrence & Co Inc
Madison Securities
Neidiger, Tucker, Bruner Inc.
Smith, Moore",2.87,2.261,4.86957,U.S. Public,8.5,8,1500000,12.4,945000,,11/9/97 0:00,,180,,No,No,No,,,1,1,1,5.75,,"MEYERS//BREAN/COMMONWEALTH-AS/FREDERICK
/HOEFER-ARNETT/KINNARD/LT-LAWRENCE
/MADISON-SEC/NEIDIGER/SMITH-MOORE",MEYERS,MEYERS,HJ Meyers & Co,84790,198810,A S D GROUP INC,ASDG,5/13/97,5.75,SUPER NOVA RESOURCES INC.,5/19/97,6,8.25,-0.303030303

7/12/96,3/4/97,Aviation Distributors Inc,3728,United States,ADIN,CRUTTENDEN-ROTH,0.45,9,6,5,Common Shares,Yes,05366P101,Sm Cap Mkt,"Cruttenden Roth Inc
Cleary Gull Reiland & McDevitt
Donald & Co. Securities
Frederick
Josephthal Lyons & Ross Inc
CL King & Associates Inc
Pennsylvania Merchant Group
Van Kasper & Co",1.6,2.4,5,U.S. Public,8,6,1000000,7,1200000,,8/31/97 0:00,,180,,No,No,No,,,1,1,1,5.13,,"CRUTTENDEN-ROTH//CLEARY-GULL-R-M/DONALD
/FREDERICK/JOSEPHTHAL-LYON/CL-KING
/PENN-MER-GROUP/VAN-KASPER",CRUTTENDEN-ROTH,CRUTTENDEN-ROTH,Cruttenden Roth Inc,84594,05366P10,AVIATION DISTRIBUTORS INC,ADIN,3/4/97,5.125,AVIATION DISTRIBUTORS INC,3/4/97,0,7,-0.285714286

8/2/96,2/5/97,Digital Lightwave Inc,3823,United States,DIGL,CS-FB,0.84,7,55.2,12,Common Shares,Yes,253855100,Nasdaq,"CS First Boston Corp
Furman Selz LLC
Alex Brown & Sons Inc
Arnhold and S Bleichroeder Inc
Bear Stearns & Co Inc
Cowen
Dean Witter Reynolds Inc
Gerard Klauer Mattison & Co
Hambrecht & Quist
Hoak Breedlove Wesneski & Co
Invemed Associates Inc
Montgomery Securities
Morgan Keegan Inc
JP Morgan
Needham & Co LLC
Nutmeg Securities Ltd
Oppenheimer & Co Inc
PaineWebber
Punk Ziegel & Knoell
Robertson Stephens & Co
Sanders Morris Mundy Inc
Smith Barney Inc
Soundview Financial Group Inc
UBS Securities Inc
Volpe Welty & Co
Wessels Arnold & Henderson LLC",1.417,1.417,4.16667,U.S. Public,,,4100000,,3658860,941140,8/4/97 0:00,,180,,No,No,No,,,1,1,2,12.75,,"CS-FB//FURMAN-SELZ-INC//ALEX-BROWN
/ARNHOLD/BEAR/COWEN/DWR/GERARD-KLAUER
/HAMBRECHT/HOAK-BREEDLOVE/INVEMED
/MONTGOMERY/MORGAN-KEEGAN/JPM/NEEDHAM
/NUTMEG-SEC/OPPENHEIMER/PAINE-W
/PUNK-ZIEGEL/ROBERTSON-S/SANDERS-MORRIS
/SBI/SOUNDVIEW-FIN/UBS-SEC/VOLPE-WELTY
/WESSELS",CS-FB,"CS-FB
FURMAN-SELZ-INC","CS First Boston Corp
Furman Selz LLC",84525,25385510,DIGITAL LIGHTWAVE INC,DIGL,2/6/97,12.75,DIGITAL LIGHTWAVE INC,2/7/97,1,0,#DIV/0!

8/8/96,1/29/97,SCPIE Holdings Inc,6399,United States,SKP,SAL,1.28,7.014,36.5,18.25,Common Shares,Yes,78402P104,New York,"Salomon Brothers
Alex Brown & Sons Inc
Dean Witter Reynolds Inc
Merrill Lynch
Morgan Stanley & Co
Oppenheimer & Co Inc
Smith Barney Inc
Dain Bosworth Inc
EVEREN Securities Inc
McDonald Investments
Robinson-Humphrey Co
Sutro & Co Inc
Conning & Co
Crowell Weedon & Co
Dowling & Partners Securities
Fox-Pitt Kelton
Ohio Co",1.397,1.397,4.21918,U.S. Public,21,19,2000000,40,2000000,,7/28/97 0:00,,180,,No,No,No,,,1,1,1,20.75,,"SAL//ALEX-BROWN/DWR/MERRILL/MS
/OPPENHEIMER/SBI/DAIN-BOS/EVEREN-SEC
/MCDONALD/ROBINSON/SUTRO
/CONNING-COMPANY/CROWELL/DOWL/FOX-PITT
/OHIO",SAL,SAL,Salomon Brothers Inc,84395,78402P10,S C P I E HOLDINGS INC,SKP,1/30/97,20.75,SCPIE HOLDINGS INC,1/30/97,0,20,-0.0875

8/8/96,1/30/97,Trigon Healthcare Inc,6324,United States,TGH,MERRILL,0.84,6.462,161.2,13,Common Shares,Yes,89618L100,New York,"Merrill Lynch
Alex Brown & Sons Inc
Morgan Stanley & Co
Wheat First Butcher & Singer
Dean Witter Reynolds Inc
Bear Stearns & Co Inc
Montgomery Securities
Lazard Houses
Sanford C Bernstein & Co Inc
Anderson & Strudwick
Wasserstein Perella Group Inc
Smith Barney Inc
Schroders
Salomon Brothers
Robertson Stephens & Co
PaineWebber
Legg Mason Wood Walker
Janney Montgomery Scott Inc
Interstate/Johnson Lane Inc
Furman Selz Mager Dietz Birney
Friedman Billings Ramsey Group
Ferris Baker Watts
Fox-Pitt Kelton
Dominick & Dominick Inc
Vector Securities Intl
Scott & Stringfellow Financial
Robinson-Humphrey Co
Piper Jaffray Inc
Davenport
Dain Bosworth Inc
Craigie
Cowen
Conning & Co
Buckingham Research Group
Branch, Cabell and Company
JC Bradford & Co
Oppenheimer & Co Inc
Dillon, Read & Co Inc
AG Edwards & Sons Inc
Goldman Sachs & Co
Hambrecht & Quist
Donaldson Lufkin & Jenrette
CS First Boston Corp
Merrill Lynch",1.308,1.154,4,U.S. Public,,,,241.5,12400000,,,,,,No,No,No,,,1,1,5,17.75,,"MERRILL//ALEX-BROWN/MS/WHEAT-FBS/DWR
//BEAR/MONTGOMERY/LAZARD-HOUSES
/BERNSTEIN/ANDERSON/WP/SBI/SCHRODERS
/SAL/ROBERTSON-S/PAINE-W/LEGG-MASON-WW
/JANNEY/INTER-JL/FURMAN-SELZ/FRIEDMAN-B
/FERRIS-BAKER/FOX-PITT/DOMINICK/VECTOR
/SCOTT-STRING/ROBINSON/PIPER-J
/DAVENPORT/DAIN-BOS/CRAIGIE/COWEN
/CONNING-COMPANY/BUCKINGHAM-RES
/BRANCH-CABELL/BRADFORD/OPPENHEIMER/DR
/A-G-EDWARDS/GS/HAMBRECHT/DLJ/CS-FB
//MERRILL(GC)",MERRILL,"MERRILL
ALEX-BROWN
MS
WHEAT-FBS
DWR","Merrill Lynch & Co Inc
Alex Brown & Sons Inc
Morgan Stanley & Co
Wheat First Butcher & Singer Capital Markets
Dean Witter Reynolds Inc",84396,89618L10,TRIGON HEALTHCARE INC,TGH,1/31/97,17.75,,2/3/97,3,0,#DIV/0!

8/8/96,7/7/97,Allstar Systems Inc,5045,United States,ALLS,SUTRO,0.45,7.5,10.6,6,Common Shares,Yes,19892108,Nasdaq,"Sutro & Co Inc
Cruttenden Roth Inc
Credit Lyonnais Securities USA
Crowell Weedon & Co
Dain Bosworth Inc
Legg Mason Wood Walker
McDonald Investments
Needham & Co LLC
Piper Jaffray Inc
Principal Financial Securities
Rauscher Pierce Refsnes Inc
Raymond James & Associates Inc
Robinson-Humphrey Co
Stifel Nicolaus & Co Inc
Tucker Anthony Inc
Wedbush Securities
Hoak Breedlove Wesneski & Co
Parker-Hunter Inc
Southwest Securities Group Inc
Starr Securities",1.333,1.833,4.33333,U.S. Public,12,10,2035000,22.4,1500000,267500,1/3/98 0:00,,180,,No,No,No,,,1,1,2,6.06,,"SUTRO//CRUTTENDEN-ROTH//CL-SEC-USA
/CROWELL/DAIN-BOS/LEGG-MASON-WW
/MCDONALD/NEEDHAM/PIPER-J/PRINCIPAL-FIN
/RAUSCHER-REF/RAYMOND/ROBINSON/STIFEL
/TUCKER/WEDBUSH-M/HOAK-BREEDLOVE
/PARKER-HUNTER/SOUTHWEST-SEC/STARR",SUTRO,"SUTRO
CRUTTENDEN-ROTH","Sutro & Co Inc
Cruttenden Roth Inc",85158,46185W10,ALLSTAR SYSTEMS INC,ALLS,7/8/97,6.0625,INX INC,7/8/97,0,11,-0.454545455

8/12/96,3/12/99,Eagle Supply Group Inc,5033,United States,EEGL,BARRON-CHASE,0.45,9,12.5,5,Common Shares,Yes,269894101,Nasdaq,Barron Chase Securities,Comb.,Comb.,5,U.S. Public,5,5,1500000,7.5,2500000,,6/4/00 0:00,3.571,450,300000,No,No,No,,,1,1,1,4.88,,BARRON-CHASE,BARRON-CHASE,BARRON-CHASE,Barron Chase Securities,86774,26989410,EAGLE SUPPLY GROUP INC,EEGL,3/12/99,4.875,EAGLE SUPPLY GROUP INC,3/16/99,4,5,0

8/21/96,3/12/97,ProMedCo Management Co,8011,United States,PMCOQ,PIPER-J,0.63,7,36,9,Common Shares,Yes,74342L105,Pink Sheet,"Piper Jaffray Inc
Robertson Stephens & Co
Cowen
Alex Brown & Sons Inc
Bear Stearns & Co Inc
Hambrecht & Quist
Lehman Brothers
Merrill Lynch
Montgomery Securities
JP Morgan
Salomon Brothers
Smith Barney Inc
Equitable Securities Corp
JC Bradford & Co
Rauscher Pierce Refsnes Inc
Robinson-Humphrey Co
Volpe Welty & Co
Wessels Arnold & Henderson LLC
Wheat First Securities Inc",1.556,1.556,3.88889,U.S. Public,11,9,4000000,40,4000000,,9/8/97 0:00,,180,,No,No,Yes,,,1,1,3,9,,"PIPER-J//ROBERTSON-S/COWEN//ALEX-BROWN
/BEAR/HAMBRECHT/LEH/MERRILL/MONTGOMERY
/JPM/SAL/SBI/EQUITABLE/BRADFORD
/RAUSCHER-REF/ROBINSON/VOLPE-WELTY
/WESSELS/WHEAT",PIPER-J,"PIPER-J
ROBERTSON-S
COWEN","Piper Jaffray Inc
Robertson Stephens & Co
Cowen & Co",84628,74342L10,PROMEDCO MANAGEMENT COMPANY,PMCO,3/12/97,9,PROMEDCO MANAGEMENT CO,3/12/97,0,10,-0.1

8/23/96,2/5/97,Brunswick Technologies Inc,2221,United States,BTIC,JOSEPHTHAL-LYON,0.665,7,23.8,9.5,Common Shares,Yes,117394106,Nasdaq,"Josephthal Lyons & Ross Inc
Southwest Securities Group Inc
AG Edwards & Sons Inc
Oppenheimer & Co Inc
Salomon Brothers
Advest Inc
Allen & Co Inc
Cruttenden Roth Inc
DA Davidson & Co Inc
First Albany
JJB Hilliard WL Lyons Inc
Morgan Keegan Inc
Needham & Co LLC
Piper Jaffray Inc
Principal Financial Securities
Raymond James & Associates Inc
Southeast Research Partners
Stephens Inc
Stifel Nicolaus & Co Inc
Tucker Anthony Inc
Value Investing Partners, Inc.
Van Kasper & Co
Wedbush Securities
Fechtor, Detwiler
First Allied Securities, Inc.
Gilford Securities
Livada Securities
Ormes Capital Markets Inc
Pauli Johnson Capital & Resch
HC Wainwright & Co Inc",1.421,1.368,4.21053,U.S. Public,8,6,2250000,15.8,1700000,800000,3/2/98 0:00,,390,2047604,No,No,Yes,,,1,1,2,10,,"JOSEPHTHAL-LYON//SOUTHWEST-SEC
//A-G-EDWARDS/OPPENHEIMER/SAL/ADVEST
/ALLEN/CRUTTENDEN-ROTH/DAVIDSON
/FIRST-ALBANY/HILLIARD/MORGAN-KEEGAN
/NEEDHAM/PIPER-J/PRINCIPAL-FIN/RAYMOND
/SOUTHEAST-PART/STEPHENS/STIFEL/TUCKER
/VALUE-INVEST/VAN-KASPER/WEDBUSH-M
/FECHTOR/FIRST-ALLIED/GILFORD
/LIVADA-SEC/ORMES/PAULI/H-C-WAINWRIGHT",JOSEPHTHAL-LYON,"JOSEPHTHAL-LYON
SOUTHWEST-SEC","Josephthal Lyons & Ross Inc
Southwest Securities Group  Inc",84589,11739410,BRUNSWICK TECHNOLOGIES,BTIC,2/5/97,10,BRUNSWICK TECHNOLOGIES INC,2/6/97,1,7,0.357142857

9/3/96,9/12/97,Castle Dental Centers Inc,8021,United States,CASL,BRADFORD,0.91,7,32.5,13,Common Shares,Yes,14844P105,Nasdaq,"JC Bradford & Co
Southcoast Capital
BT Alex Brown Inc
Cowen
AG Edwards & Sons Inc
Goldman Sachs & Co
Lehman Brothers
Montgomery Securities
Oppenheimer & Co Inc
Prudential Securities Inc
Robert W Baird & Co Inc
William Blair & Co
Dain Bosworth Inc
Equitable Securities Corp
Interstate/Johnson Lane Inc
Legg Mason Wood Walker
McDonald Investments
Morgan Keegan Inc
Needham & Co LLC
Piper Jaffray Inc
Rauscher Pierce Refsnes Inc
Raymond James & Associates Inc
Robinson-Humphrey Co
Sanders Morris Mundy Inc
Southwest Securities Group Inc
Wedbush Securities
Wheat First Securities Inc",1.385,1.385,4.23077,U.S. Public,10,10,5500000,55,2500000,,3/11/98 0:00,,180,,No,No,No,,,1,1,2,14.44,,"BRADFORD//SOUTHCOAST//BT-ALEX-BROWN
/COWEN/A-G-EDWARDS/GS/LEH/MONTGOMERY
/OPPENHEIMER/PSI/BAIRD/WM-BLAIR
/DAIN-BOS/EQUITABLE/INTER-JL
/LEGG-MASON-WW/MCDONALD/MORGAN-KEEGAN
/NEEDHAM/PIPER-J/RAUSCHER-REF/RAYMOND
/ROBINSON/SANDERS-MORRIS/SOUTHWEST-SEC
/WEDBUSH-M/WHEAT",BRADFORD,"BRADFORD
SOUTHCOAST","JC Bradford & Co
Southcoast Capital Corp",85363,14844P10,CASTLE DENTAL CENTERS INC,CASL,9/12/97,14.4375,CASTLE DENTAL CENTERS INC,9/15/97,3,10,0.3

9/4/96,1/30/97,Cerus Corp,3841,United States,CERS,MS,0.84,7,24,12,Common Shares,Yes,157085101,Nasdaq,"Morgan Stanley & Co
Alex Brown & Sons Inc
William Blair & Co
Cowen
Dain Bosworth Inc
Donaldson Lufkin & Jenrette
AG Edwards & Sons Inc
EVEREN Securities Inc
Goldman Sachs & Co
Hambrecht & Quist
Janney Montgomery Scott Inc
Lehman Brothers
McDonald Investments
Merrill Lynch
Montgomery Securities
Pacific Growth Equities Inc
Robertson Stephens & Co
Smith Barney Inc
Vector Securities Intl
Wasserstein Perella Securities",1.417,1.667,3.91667,U.S. Public,16,14,2000000,30,2000000,,7/29/97 0:00,,180,6850000,No,No,Yes,,,1,1,2,12.13,,"MS//ALEX-BROWN//WM-BLAIR/COWEN/DAIN-BOS
/DLJ/A-G-EDWARDS/EVEREN-SEC/GS
/HAMBRECHT/JANNEY/LEH/MCDONALD/MERRILL
/MONTGOMERY/PACIFIC-GROWTH/ROBERTSON-S
/SBI/VECTOR/WP-SEC",MS,"MS
ALEX-BROWN","Morgan Stanley & Co
Alex Brown & Sons Inc",84413,15708510,CERUS CORPORATION,CERS,1/31/97,12.125,CERUS CORP,1/31/97,0,15,-0.2

9/13/96,2/12/97,Birman Managed Care Inc,8099,United States,BMAN,ROYCE-INVEST,0.4,8,10,5,Common Shares,Yes,90883109,Pink Sheet,"Royce Investment Group Inc
Continental Broker-Dealer Corp",Comb.,Comb.,4,U.S. Public,6.75,5.75,1550000,9.7,2000000,,2/12/99 0:00,,730,6754082,No,No,No,,,1,1,2,7.5,,ROYCE-INVEST//CONTIN-BROKER,ROYCE-INVEST,"ROYCE-INVEST
CONTIN-BROKER","Royce Investment Group Inc
Continental Broker-Dealer Corp",84513,9088330,BIRMAN MANAGED CARE INC,BMAN,2/12/97,7.5,BIRMAN MANAGED CARE INC,2/13/97,1,6.25,-0.2

9/18/96,1/28/97,AmerUs Life Holdings Inc,6311,United States,AMH,GS,1.15,6.97,76.9,16.5,Class A Shares,Yes,30732101,New York,"Goldman Sachs & Co
ABN AMRO Chicago Corp
Donaldson Lufkin & Jenrette
Salomon Brothers
Alex Brown & Sons Inc
Conning & Co
Dain Bosworth Inc
Dean Witter Reynolds Inc
AG Edwards & Sons Inc
EVEREN Securities Inc
Fahnestock & Co
Fox-Pitt Kelton
Janney Montgomery Scott Inc
Edward D Jones & Co
Ladenburg Thalmann & Co
